date,asset_id,dynamic_score,static_score,dynamic_weight,static_weight,target_return
2026-05-29,ASX,0.03466567749630421,0.03382836459195443,-0.011001453467575828,-0.009662245116566144,0.0217152129943363
2026-05-29,DAX,-0.014612288948351607,-0.017022805849609014,-0.08557699840272494,-0.0837751241968466,0.0421510195516841
2026-05-29,FTSE,0.0951580309054065,0.09806032592037492,0.13196728627829116,0.13595625470341935,0.0238301251297092
2026-05-29,HSCEI,0.029516049413918173,0.027724525108900454,-0.017199988740531528,-0.0173197002089065,-0.0044758754225756
2026-05-29,HSI,0.09410377292242,0.09351058339723146,0.07129512961589786,0.06908640655041705,0.0696809724724925
2026-05-29,KOSPI,0.07229332240728498,0.07032700266430059,0.050950797127151747,0.047667950962879936,0.0516393405142336
2026-05-29,NDX,0.06688968776733605,0.06743207000328687,0.04121528190410233,0.04215835598220344,0.06730865466377
2026-05-29,NKY,0.1273053645343163,0.13124651512140698,0.1955511706651352,0.19605189969000184,0.022222121655004
2026-05-29,RTY,0.04749402546856911,0.046612972248947906,0.009020334409421661,0.00907913211107836,0.1224717812925686
2026-05-29,SPX,-0.05969979449288046,-0.06573794491661919,-0.1873470680773916,-0.18813795620992155,0.0888704877280754
2026-05-29,SX5E,-0.02063878227070215,-0.024902052520616974,-0.08475907934759076,-0.0852452411482578,0.0108680602154831
2026-05-29,TPX,-0.029768452091603698,-0.03518504316832864,-0.11411541196418529,-0.11585973311950146,0.0378036086114126
